"Recipient Type","Recipient Name","Nit o Identificacion","Workplace","Specialty","Categoria de la Transferencia","Date of Provision","Place","Purpose","Details","Amount (COP)"
"HCP","Dr. Carlos Romero","CC-1014284109","Clínica Imbanaco (Cali)","Neurología","DONACIONES","2026-01-30","Cali","Donación de equipo ecográfico portátil","Factura CO-20260130-259",12668701
"HCP","Dr. Felipe Moreno","CC-1487150511","Hospital Pablo Tobón Uribe (Medellín)","Dermatología","REUNIONES","2026-02-14","Medellín","Participación en mesa redonda de oncología","Factura CO-20260214-260",202761
"INSTITUTION","Clínica Imbanaco (Cali)","NIT-105018592-9","","","DONACIONES","2026-05-09","Bogotá","Donación de equipo ecográfico portátil","Factura CO-20260509-261",6612625
"HCP","Dr. Carlos Perez","CC-1145352791","Clínica Imbanaco (Cali)","Pediatría","VIAJES","2026-02-13","Cali","Alojamiento en hotel para convención científica","Factura CO-20260213-262",1253127
"HCP","Dr. Camila Gomez","CC-1529116230","Fundación Santa Fe de Bogotá","Neurología","HONORARIOS","2026-02-23","Bogotá","Asesoría científica en junta médica","Factura CO-20260223-263",702923
"HCP","Dr. Gustavo Martinez","CC-1445563801","Hospital General de Medellín","Cirugía General","DONACIONES","2026-02-17","Medellín","Aporte liberal para centro de investigación pública","Factura CO-20260217-264",3029765
"INSTITUTION","Fundación Cardioinfantil (Bogotá)","NIT-858693143-1","","","DONACIONES","2026-03-01","Cali","Donación de equipo ecográfico portátil","Factura CO-20260301-265",17832517
"INSTITUTION","Hospital Departamental de Villavicencio","NIT-762491283-6","","","HONORARIOS","2026-02-15","Villavicencio","Contrato de advisory board farmacéutico","Factura CO-20260215-266",881316
"HCP","Dr. Juan Vargas","CC-1731254375","Fundación Cardioinfantil (Bogotá)","Dermatología","REUNIONES","2026-04-23","Bogotá","Participación en mesa redonda de oncología","Factura CO-20260423-267",492920
"HCP","Dr. Jorge Martinez","CC-1659342462","Fundación Cardioinfantil (Bogotá)","Cardiología","HONORARIOS","2026-04-27","Bogotá","Docencia en conferencia regional de salud","Factura CO-20260427-268",1087688
"HCP","Dr. Gabriela Hernandez","CC-1129828622","Clínica Foscal (Bucaramanga)","Cirugía General","REUNIONES","2026-01-27","Bucaramanga","Participación en mesa redonda de oncología","Factura CO-20260127-269",96388
"INSTITUTION","Clínica Foscal (Bucaramanga)","NIT-897209623-1","","","DONACIONES","2026-02-22","Medellín","Donación de equipo ecográfico portátil","Factura CO-20260222-270",7881617
"HCP","Dr. Carlos Velasquez","CC-1177336103","Hospital General de Medellín","Neurología","HONORARIOS","2026-04-17","Medellín","Servicios de consultoría médica especializada","Factura CO-20260417-271",1914471
"HCP","Dr. Luciana Ochoa","CC-1186397457","Hospital Pablo Tobón Uribe (Medellín)","Anestesiología","REUNIONES","2026-02-04","Medellín","Inscripción a simposio nacional de cardiología","Factura CO-20260204-272",701887
"HCP","Dr. Mateo Ochoa","CC-1732450188","Clínica Valle del Lili (Cali)","Medicina Interna","REUNIONES","2026-04-15","Cali","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260415-273",337975
"HCP","Dr. Valeria Jimenez","CC-1471768513","Clínica Imbanaco (Cali)","Pediatría","HONORARIOS","2026-05-10","Cali","Asesoría científica en junta médica","Factura CO-20260510-274",1143821
"INSTITUTION","Hospital Departamental de Villavicencio","NIT-307967742-7","","","DONACIONES","2026-03-28","Cali","Erogación de insumos médicos para cuidado intensivo","Factura CO-20260328-275",17220128
"HCP","Dr. Alejandro Uribe","CC-1903857253","Fundación Santa Fe de Bogotá","Cirugía General","VIAJES","2026-04-08","Bogotá","Gastos de traslado aéreo a congreso médico","Factura CO-20260408-276",1018404
"HCP","Dr. Andres Echeverri","CC-1702896528","Clínica Imbanaco (Cali)","Cardiología","REUNIONES","2026-03-12","Cali","Participación en mesa redonda de oncología","Factura CO-20260312-277",339685
"HCP","Dr. Salome Diaz","CC-1327377033","Clínica Foscal (Bucaramanga)","Radiología","REUNIONES","2026-03-26","Bucaramanga","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260326-278",580616
"HCP","Dr. Luis Martinez","CC-1392653666","Clínica Valle del Lili (Cali)","Ginecología","HONORARIOS","2026-04-12","Cali","Servicios de consultoría médica especializada","Factura CO-20260412-279",777118
"HCP","Dr. Jorge Moreno","CC-1898199023","Hospital Universitario San Ignacio (Bogotá)","Oncología","DONACIONES","2026-01-31","Bogotá","Donación de equipo ecográfico portátil","Factura CO-20260131-280",20830310
"HCP","Dr. Claudia Rojas","CC-1346282374","Fundación Cardioinfantil (Bogotá)","Cirugía General","REUNIONES","2026-01-27","Bogotá","Inscripción a simposio nacional de cardiología","Factura CO-20260127-281",755585
"HCP","Dr. Luis Torres","CC-1616344653","Clínica Imbanaco (Cali)","Anestesiología","DONACIONES","2026-05-12","Cali","Aporte liberal para centro de investigación pública","Factura CO-20260512-282",11241207
"HCP","Dr. Sebastian Munoz","CC-1409011664","Fundación Santa Fe de Bogotá","Medicina Interna","HONORARIOS","2026-04-14","Bogotá","Asesoría científica en junta médica","Factura CO-20260414-283",3275413
"HCP","Dr. Alejandro Ochoa","CC-1298934050","Hospital Universitario San Ignacio (Bogotá)","Radiología","HONORARIOS","2026-03-01","Bogotá","Asesoría científica en junta médica","Factura CO-20260301-284",647453
"HCP","Dr. Alvaro Ruiz","CC-1344998850","Hospital Pablo Tobón Uribe (Medellín)","Dermatología","HONORARIOS","2026-04-15","Medellín","Servicios de consultoría médica especializada","Factura CO-20260415-285",4362941
"HCP","Dr. Carolina Lopez","CC-1836380879","Clínica Valle del Lili (Cali)","Ginecología","HONORARIOS","2026-02-18","Cali","Contrato de advisory board farmacéutico","Factura CO-20260218-286",3250061
"HCP","Dr. Mauricio Gomez","CC-1347659185","Fundación Santa Fe de Bogotá","Cardiología","VIAJES","2026-05-19","Bogotá","Gastos de viáticos internacionales","Factura CO-20260519-287",541403
"HCP","Dr. Santiago Alvarez","CC-1812789623","Hospital Universitario San Ignacio (Bogotá)","Neurología","HONORARIOS","2026-03-23","Bogotá","Asesoría científica en junta médica","Factura CO-20260323-288",3443420
"HCP","Dr. Alejandro Castro","CC-1811182964","Hospital Pablo Tobón Uribe (Medellín)","Dermatología","HONORARIOS","2026-03-13","Medellín","Servicios de consultoría médica especializada","Factura CO-20260313-289",326180
"HCP","Dr. Ricardo Hernandez","CC-1819345555","Clínica Portoazul (Barranquilla)","Cardiología","DONACIONES","2026-05-15","Barranquilla","Erogación de insumos médicos para cuidado intensivo","Factura CO-20260515-290",6593911
"HCP","Dr. Jorge Ochoa","CC-1832102698","Fundación Santa Fe de Bogotá","Cirugía General","HONORARIOS","2026-04-13","Bogotá","Docencia en conferencia regional de salud","Factura CO-20260413-291",800854
"HCP","Dr. Gustavo Velasquez","CC-1619293857","Hospital Pablo Tobón Uribe (Medellín)","Anestesiología","VIAJES","2026-05-10","Medellín","Gastos de viáticos internacionales","Factura CO-20260510-292",1071264
"HCP","Dr. Luciana Gomez","CC-1413884059","Fundación Santa Fe de Bogotá","Medicina Interna","REUNIONES","2026-05-12","Bogotá","Participación en mesa redonda de oncología","Factura CO-20260512-293",808818
"HCP","Dr. Juan Munoz","CC-1258769211","Fundación Santa Fe de Bogotá","Oncología","HONORARIOS","2026-05-18","Bogotá","Asesoría científica en junta médica","Factura CO-20260518-294",2656996
"HCP","Dr. Mateo Bermudez","CC-1458867392","Hospital Pablo Tobón Uribe (Medellín)","Radiología","HONORARIOS","2026-03-12","Medellín","Asesoría científica en junta médica","Factura CO-20260312-295",980858
"HCP","Dr. Alvaro Restrepo","CC-1370036329","Clínica Imbanaco (Cali)","Radiología","REUNIONES","2026-04-24","Cali","Inscripción a simposio nacional de cardiología","Factura CO-20260424-296",287774
"HCP","Dr. Mariana Vargas","CC-1292125288","Clínica Valle del Lili (Cali)","Medicina Interna","HONORARIOS","2026-02-15","Cali","Docencia en conferencia regional de salud","Factura CO-20260215-297",4454396
"HCP","Dr. Carolina Ruiz","CC-1149975648","Fundación Santa Fe de Bogotá","Cardiología","REUNIONES","2026-03-26","Bogotá","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260326-298",263405
"HCP","Dr. Juan Hernandez","CC-1600852984","Hospital Universitario San Ignacio (Bogotá)","Ginecología","VIAJES","2026-02-18","Bogotá","Gastos de traslado aéreo a congreso médico","Factura CO-20260218-299",2728691
"HCP","Dr. Salome Ruiz","CC-1481724659","Clínica Portoazul (Barranquilla)","Pediatría","REUNIONES","2026-04-07","Barranquilla","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260407-300",90537
"INSTITUTION","Hospital Departamental de Villavicencio","NIT-324736159-8","","","DONACIONES","2026-05-22","Bogotá","Donación de equipo ecográfico portátil","Factura CO-20260522-301",3983239
"INSTITUTION","Hospital Universitario San Ignacio (Bogotá)","NIT-403214833-4","","","HONORARIOS","2026-01-26","Bucaramanga","Docencia en conferencia regional de salud","Factura CO-20260126-302",2316654
"HCP","Dr. Daniela Ruiz","CC-1349883918","Clínica Foscal (Bucaramanga)","Anestesiología","VIAJES","2026-03-30","Bucaramanga","Alojamiento en hotel para convención científica","Factura CO-20260330-303",1048782
"HCP","Dr. Sofia Rojas","CC-1379587213","Clínica Foscal (Bucaramanga)","Dermatología","VIAJES","2026-04-28","Bucaramanga","Gastos de viáticos internacionales","Factura CO-20260428-304",3572772
"INSTITUTION","Hospital General de Medellín","NIT-581835369-4","","","HONORARIOS","2026-02-20","Cali","Contrato de advisory board farmacéutico","Factura CO-20260220-305",3064837
"INSTITUTION","Fundación Santa Fe de Bogotá","NIT-744392521-8","","","REUNIONES","2026-02-25","Bucaramanga","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260225-306",377380
"HCP","Dr. Ricardo Diaz","CC-1339095417","Fundación Cardioinfantil (Bogotá)","Anestesiología","VIAJES","2026-05-22","Bogotá","Gastos de traslado aéreo a congreso médico","Factura CO-20260522-307",3240681
"HCP","Dr. Alejandro Ortiz","CC-1476799984","Clínica Valle del Lili (Cali)","Cardiología","HONORARIOS","2026-03-27","Cali","Contrato de advisory board farmacéutico","Factura CO-20260327-308",2549015
"HCP","Dr. Andres Lopez","CC-1733043159","Hospital Pablo Tobón Uribe (Medellín)","Anestesiología","DONACIONES","2026-03-12","Medellín","Aporte liberal para centro de investigación pública","Factura CO-20260312-309",21150676
"HCP","Dr. Sofia Alvarez","CC-1807262428","Clínica Imbanaco (Cali)","Neurología","HONORARIOS","2026-05-21","Cali","Docencia en conferencia regional de salud","Factura CO-20260521-310",460035
"INSTITUTION","Hospital Pablo Tobón Uribe (Medellín)","NIT-784503341-4","","","DONACIONES","2026-04-30","Barranquilla","Donación de equipo ecográfico portátil","Factura CO-20260430-311",1347873
"HCP","Dr. Jorge Gaviria","CC-1906715033","Hospital General de Medellín","Medicina Interna","VIAJES","2026-05-09","Medellín","Gastos de viáticos internacionales","Factura CO-20260509-312",1165002
"INSTITUTION","Fundación Cardioinfantil (Bogotá)","NIT-923605277-6","","","VIAJES","2026-01-27","Barranquilla","Gastos de viáticos internacionales","Factura CO-20260127-313",1719202
"HCP","Dr. Isabella Rodriguez","CE-785329","Clínica Valle del Lili (Cali)","Dermatología","REUNIONES","2026-04-20","Cali","Participación en mesa redonda de oncología","Factura CO-20260420-314",556647
"INSTITUTION","Clínica Imbanaco (Cali)","NIT-443894783-7","","","VIAJES","2026-05-15","Bogotá","Alojamiento en hotel para convención científica","Factura CO-20260515-315",3071064
"HCP","Dr. Alejandro Ochoa","CC-1381104979","Hospital General de Medellín","Medicina Interna","VIAJES","2026-01-26","Medellín","Gastos de traslado aéreo a congreso médico","Factura CO-20260126-316",637246
"INSTITUTION","Hospital Pablo Tobón Uribe (Medellín)","NIT-120859565-1","","","HONORARIOS","2026-04-19","Bogotá","Docencia en conferencia regional de salud","Factura CO-20260419-317",1243440
"HCP","Dr. Juan Jimenez","CC-1444504276","Fundación Cardioinfantil (Bogotá)","Radiología","VIAJES","2026-02-23","Bogotá","Gastos de viáticos internacionales","Factura CO-20260223-318",3470307
"HCP","Dr. Natalia Restrepo","CC-1189045952","Clínica Valle del Lili (Cali)","Anestesiología","HONORARIOS","2026-04-24","Cali","Asesoría científica en junta médica","Factura CO-20260424-319",1236012
"HCP","Dr. Felipe Hernandez","CC-1618682311","Hospital Pablo Tobón Uribe (Medellín)","Oncología","REUNIONES","2026-03-06","Medellín","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260306-320",228866
"INSTITUTION","Hospital Universitario San Ignacio (Bogotá)","NIT-477628429-0","","","VIAJES","2026-05-08","Bogotá","Gastos de viáticos internacionales","Factura CO-20260508-321",2545242
"INSTITUTION","Hospital General de Medellín","NIT-956979118-6","","","VIAJES","2026-02-25","Cali","Gastos de viáticos internacionales","Factura CO-20260225-322",1189920
"HCP","Dr. Luciana Echeverri","CE-913142","Hospital Universitario San Ignacio (Bogotá)","Radiología","REUNIONES","2026-05-19","Bogotá","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260519-323",430660
"HCP","Dr. Valeria Lopez","CC-1862566057","Clínica Foscal (Bucaramanga)","Ginecología","HONORARIOS","2026-02-05","Bucaramanga","Servicios de consultoría médica especializada","Factura CO-20260205-324",2642688
"HCP","Dr. Mauricio Uribe","CC-1360193882","Fundación Santa Fe de Bogotá","Medicina Interna","VIAJES","2026-04-28","Bogotá","Gastos de viáticos internacionales","Factura CO-20260428-325",2654810
"HCP","Dr. Claudia Jimenez","CC-1329126147","Clínica Foscal (Bucaramanga)","Pediatría","VIAJES","2026-04-29","Bucaramanga","Gastos de viáticos internacionales","Factura CO-20260429-326",3056663
"HCP","Dr. Salome Romero","CC-1360014306","Hospital Pablo Tobón Uribe (Medellín)","Pediatría","VIAJES","2026-05-15","Medellín","Alojamiento en hotel para convención científica","Factura CO-20260515-327",532740
"INSTITUTION","Fundación Cardioinfantil (Bogotá)","NIT-258335761-7","","","VIAJES","2026-02-10","Bucaramanga","Gastos de traslado aéreo a congreso médico","Factura CO-20260210-328",1177108
"INSTITUTION","Fundación Cardioinfantil (Bogotá)","NIT-905151906-4","","","REUNIONES","2026-02-22","Medellín","Inscripción a simposio nacional de cardiología","Factura CO-20260222-329",697212
"HCP","Dr. Alejandro Ruiz","CC-1413074623","Clínica Portoazul (Barranquilla)","Ginecología","DONACIONES","2026-04-22","Barranquilla","Beca de estudio científico institucional","Factura CO-20260422-330",6707881
"HCP","Dr. Andres Hernandez","CE-875302","Fundación Santa Fe de Bogotá","Dermatología","HONORARIOS","2026-04-26","Bogotá","Docencia en conferencia regional de salud","Factura CO-20260426-331",1100796
"HCP","Dr. Alvaro Romero","CC-1210713979","Hospital Departamental de Villavicencio","Medicina Interna","VIAJES","2026-03-30","Villavicencio","Gastos de viáticos internacionales","Factura CO-20260330-332",413503
"HCP","Dr. Camila Rodriguez","CC-1144283671","Clínica Foscal (Bucaramanga)","Medicina Interna","HONORARIOS","2026-05-01","Bucaramanga","Servicios de consultoría médica especializada","Factura CO-20260501-333",361792
"INSTITUTION","Fundación Santa Fe de Bogotá","NIT-969921476-1","","","VIAJES","2026-02-12","Medellín","Alojamiento en hotel para convención científica","Factura CO-20260212-334",574292
"HCP","Dr. Carolina Sanchez","CE-752859","Clínica Valle del Lili (Cali)","Cirugía General","HONORARIOS","2026-04-24","Cali","Docencia en conferencia regional de salud","Factura CO-20260424-335",4433595
"HCP","Dr. Valeria Hernandez","CC-1207173622","Clínica Imbanaco (Cali)","Oncología","HONORARIOS","2026-02-05","Cali","Contrato de advisory board farmacéutico","Factura CO-20260205-336",1013883
"HCP","Dr. Luciana Gaviria","CC-1214097482","Clínica Foscal (Bucaramanga)","Oncología","VIAJES","2026-04-13","Bucaramanga","Gastos de traslado aéreo a congreso médico","Factura CO-20260413-337",617839
"INSTITUTION","Clínica Imbanaco (Cali)","NIT-747466739-2","","","HONORARIOS","2026-03-01","Medellín","Contrato de advisory board farmacéutico","Factura CO-20260301-338",1390584
"HCP","Dr. Mariana Munoz","CC-1732638750","Clínica Imbanaco (Cali)","Cardiología","REUNIONES","2026-02-13","Cali","Participación en mesa redonda de oncología","Factura CO-20260213-339",455524
"HCP","Dr. Valeria Jimenez","CE-991353","Hospital Departamental de Villavicencio","Radiología","REUNIONES","2026-01-28","Villavicencio","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260128-340",150680
"HCP","Dr. Natalia Salazar","CC-1746598488","Fundación Santa Fe de Bogotá","Cirugía General","HONORARIOS","2026-05-09","Bogotá","Asesoría científica en junta médica","Factura CO-20260509-341",4204517
"HCP","Dr. Carolina Rodriguez","CC-1865776131","Clínica Portoazul (Barranquilla)","Dermatología","VIAJES","2026-04-16","Barranquilla","Gastos de viáticos internacionales","Factura CO-20260416-342",3491223
"HCP","Dr. Gustavo Salazar","CC-1259887916","Clínica Portoazul (Barranquilla)","Cardiología","REUNIONES","2026-03-02","Barranquilla","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260302-343",643267
"HCP","Dr. Alvaro Hernandez","CC-1338366750","Clínica Imbanaco (Cali)","Ginecología","REUNIONES","2026-03-24","Cali","Inscripción a simposio nacional de cardiología","Factura CO-20260324-344",794486
"HCP","Dr. Alejandro Lopez","CE-955850","Hospital General de Medellín","Cirugía General","REUNIONES","2026-03-23","Medellín","Participación en mesa redonda de oncología","Factura CO-20260323-345",59396
"HCP","Dr. Isabella Restrepo","CE-183604","Fundación Santa Fe de Bogotá","Radiología","VIAJES","2026-02-20","Bogotá","Alojamiento en hotel para convención científica","Factura CO-20260220-346",2807316
"HCP","Dr. Luciana Lopez","CC-1186351042","Hospital Departamental de Villavicencio","Oncología","REUNIONES","2026-04-26","Villavicencio","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260426-347",474455
"INSTITUTION","Clínica Portoazul (Barranquilla)","NIT-218058779-1","","","REUNIONES","2026-03-26","Barranquilla","Participación en mesa redonda de oncología","Factura CO-20260326-348",263408
"HCP","Dr. Patricia Uribe","CC-1038010274","Clínica Foscal (Bucaramanga)","Oncología","DONACIONES","2026-03-07","Bucaramanga","Erogación de insumos médicos para cuidado intensivo","Factura CO-20260307-349",13830139
"HCP","Dr. Jorge Vargas","CC-1693699535","Hospital Universitario San Ignacio (Bogotá)","Medicina Interna","VIAJES","2026-02-12","Bogotá","Alojamiento en hotel para convención científica","Factura CO-20260212-350",2651419
"INSTITUTION","Fundación Santa Fe de Bogotá","NIT-758254188-5","","","HONORARIOS","2026-01-28","Bogotá","Contrato de advisory board farmacéutico","Factura CO-20260128-351",899769
"HCP","Dr. Daniela Uribe","CC-1636497645","Clínica Portoazul (Barranquilla)","Neurología","VIAJES","2026-05-03","Barranquilla","Gastos de traslado aéreo a congreso médico","Factura CO-20260503-352",572816
"HCP","Dr. Luis Sanchez","CE-564937","Clínica Foscal (Bucaramanga)","Anestesiología","HONORARIOS","2026-01-27","Bucaramanga","Servicios de consultoría médica especializada","Factura CO-20260127-353",527775
"HCP","Dr. Mauricio Velasquez","CC-1896823992","Fundación Santa Fe de Bogotá","Oncología","VIAJES","2026-05-04","Bogotá","Gastos de traslado aéreo a congreso médico","Factura CO-20260504-354",1007133
"HCP","Dr. Camila Lopez","CC-1348209566","Clínica Portoazul (Barranquilla)","Neurología","REUNIONES","2026-03-20","Barranquilla","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260320-355",475076
"HCP","Dr. Claudia Montoya","CC-1414782205","Fundación Santa Fe de Bogotá","Medicina Interna","HONORARIOS","2026-03-16","Bogotá","Asesoría científica en junta médica","Factura CO-20260316-356",801209
"HCP","Dr. Sebastian Rojas","CC-1344440988","Hospital General de Medellín","Pediatría","REUNIONES","2026-04-26","Medellín","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260426-357",182085
"HCP","Dr. Nicolas Uribe","CC-1707983657","Hospital Universitario San Ignacio (Bogotá)","Cirugía General","HONORARIOS","2026-05-21","Bogotá","Servicios de consultoría médica especializada","Factura CO-20260521-358",976421
"HCP","Dr. Juan Ochoa","CE-748762","Clínica Foscal (Bucaramanga)","Oncología","DONACIONES","2026-02-20","Bucaramanga","Donación de equipo ecográfico portátil","Factura CO-20260220-359",18987929
"HCP","Dr. Natalia Ochoa","CC-1691702672","Hospital Departamental de Villavicencio","Neurología","DONACIONES","2026-03-30","Villavicencio","Erogación de insumos médicos para cuidado intensivo","Factura CO-20260330-360",7169734
"INSTITUTION","Clínica Valle del Lili (Cali)","NIT-601242070-1","","","HONORARIOS","2026-01-29","Bogotá","Docencia en conferencia regional de salud","Factura CO-20260129-361",3613530
"HCP","Dr. Patricia Restrepo","CC-1417103855","Hospital Departamental de Villavicencio","Anestesiología","REUNIONES","2026-04-24","Villavicencio","Inscripción a simposio nacional de cardiología","Factura CO-20260424-362",793687
"HCP","Dr. Diana Velasquez","CC-1025863467","Clínica Portoazul (Barranquilla)","Dermatología","REUNIONES","2026-02-15","Barranquilla","Participación en mesa redonda de oncología","Factura CO-20260215-363",66212
"HCP","Dr. Gustavo Gutierrez","CC-1540386639","Hospital General de Medellín","Pediatría","DONACIONES","2026-03-15","Medellín","Erogación de insumos médicos para cuidado intensivo","Factura CO-20260315-364",16479868
"INSTITUTION","Fundación Cardioinfantil (Bogotá)","NIT-352028304-7","","","VIAJES","2026-02-07","Bucaramanga","Gastos de viáticos internacionales","Factura CO-20260207-365",888761
"HCP","Dr. Carlos Bermudez","CC-1586365495","Hospital Pablo Tobón Uribe (Medellín)","Medicina Interna","HONORARIOS","2026-01-29","Medellín","Contrato de advisory board farmacéutico","Factura CO-20260129-366",931632
"HCP","Dr. Daniel Gomez","CC-1548633760","Fundación Santa Fe de Bogotá","Medicina Interna","DONACIONES","2026-02-28","Bogotá","Beca de estudio científico institucional","Factura CO-20260228-367",2694488
"HCP","Dr. Gustavo Echeverri","CC-1153866894","Clínica Portoazul (Barranquilla)","Dermatología","REUNIONES","2026-02-26","Barranquilla","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260226-368",231039
"INSTITUTION","Hospital Departamental de Villavicencio","NIT-300738118-6","","","REUNIONES","2026-03-18","Cali","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260318-369",685930
"HCP","Dr. Luis Bermudez","CC-1547422933","Clínica Imbanaco (Cali)","Pediatría","VIAJES","2026-02-04","Cali","Gastos de viáticos internacionales","Factura CO-20260204-370",693158
"HCP","Dr. Daniel Uribe","CC-1484090877","Hospital Pablo Tobón Uribe (Medellín)","Oncología","REUNIONES","2026-02-11","Medellín","Inscripción a simposio nacional de cardiología","Factura CO-20260211-371",654041
"HCP","Dr. Alvaro Ochoa","CC-1293013119","Fundación Santa Fe de Bogotá","Cardiología","REUNIONES","2026-04-01","Bogotá","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260401-372",380028
"HCP","Dr. Juan Perez","CC-1143235055","Hospital Universitario San Ignacio (Bogotá)","Radiología","VIAJES","2026-04-05","Bogotá","Gastos de traslado aéreo a congreso médico","Factura CO-20260405-373",626763
"HCP","Dr. Sofia Restrepo","CC-1127143573","Clínica Valle del Lili (Cali)","Oncología","DONACIONES","2026-02-13","Cali","Beca de estudio científico institucional","Factura CO-20260213-374",3430967
"HCP","Dr. Claudia Rodriguez","CC-1526571815","Hospital Universitario San Ignacio (Bogotá)","Radiología","REUNIONES","2026-02-08","Bogotá","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260208-375",649617
"INSTITUTION","Clínica Foscal (Bucaramanga)","NIT-784437109-0","","","VIAJES","2026-04-01","Villavicencio","Alojamiento en hotel para convención científica","Factura CO-20260401-376",2147774
"HCP","Dr. Andres Gutierrez","CE-262815","Hospital Departamental de Villavicencio","Pediatría","DONACIONES","2026-04-20","Villavicencio","Erogación de insumos médicos para cuidado intensivo","Factura CO-20260420-377",3726460
"HCP","Dr. Luciana Sanchez","CC-1530725675","Hospital General de Medellín","Radiología","REUNIONES","2026-02-26","Medellín","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260226-378",820025
"HCP","Dr. Luis Romero","CE-162854","Hospital Departamental de Villavicencio","Neurología","VIAJES","2026-03-16","Villavicencio","Gastos de traslado aéreo a congreso médico","Factura CO-20260316-379",766308
"HCP","Dr. Natalia Echeverri","CC-1468174568","Clínica Imbanaco (Cali)","Dermatología","VIAJES","2026-02-23","Cali","Gastos de traslado aéreo a congreso médico","Factura CO-20260223-380",1195112
"INSTITUTION","Hospital Departamental de Villavicencio","NIT-335790600-1","","","REUNIONES","2026-04-29","Bogotá","Inscripción a simposio nacional de cardiología","Factura CO-20260429-381",556286
"HCP","Dr. Mateo Rodriguez","CC-1302809491","Fundación Cardioinfantil (Bogotá)","Anestesiología","HONORARIOS","2026-05-02","Bogotá","Servicios de consultoría médica especializada","Factura CO-20260502-382",257713
"HCP","Dr. Jorge Ortiz","CE-515626","Hospital General de Medellín","Cardiología","DONACIONES","2026-03-19","Medellín","Aporte liberal para centro de investigación pública","Factura CO-20260319-383",21587945
"INSTITUTION","Fundación Santa Fe de Bogotá","NIT-793716766-6","","","VIAJES","2026-02-06","Villavicencio","Alojamiento en hotel para convención científica","Factura CO-20260206-384",319583
"HCP","Dr. Mauricio Velasquez","CC-1339020033","Clínica Imbanaco (Cali)","Medicina Interna","VIAJES","2026-04-27","Cali","Alojamiento en hotel para convención científica","Factura CO-20260427-385",3830512
"HCP","Dr. Carlos Alvarez","CC-1603300762","Clínica Foscal (Bucaramanga)","Cardiología","REUNIONES","2026-03-21","Bucaramanga","Participación en mesa redonda de oncología","Factura CO-20260321-386",508159
"HCP","Dr. Daniel Bermudez","CC-1546480020","Hospital Departamental de Villavicencio","Pediatría","DONACIONES","2026-04-18","Villavicencio","Erogación de insumos médicos para cuidado intensivo","Factura CO-20260418-387",17157789
"HCP","Dr. Jorge Munoz","CC-1393059458","Hospital Departamental de Villavicencio","Cardiología","REUNIONES","2026-02-26","Villavicencio","Participación en mesa redonda de oncología","Factura CO-20260226-388",296748
"HCP","Dr. Salome Hernandez","CC-1664494557","Fundación Cardioinfantil (Bogotá)","Medicina Interna","VIAJES","2026-02-20","Bogotá","Gastos de traslado aéreo a congreso médico","Factura CO-20260220-389",2092587
"HCP","Dr. Daniela Castro","CC-1762316911","Hospital General de Medellín","Oncología","DONACIONES","2026-04-22","Medellín","Donación de equipo ecográfico portátil","Factura CO-20260422-390",12734549
"HCP","Dr. Felipe Rojas","CC-1304018663","Clínica Valle del Lili (Cali)","Ginecología","VIAJES","2026-03-05","Cali","Gastos de viáticos internacionales","Factura CO-20260305-391",2793947
"HCP","Dr. Juan Gaviria","CC-1297015586","Clínica Portoazul (Barranquilla)","Neurología","REUNIONES","2026-05-18","Barranquilla","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260518-392",344404
"HCP","Dr. Isabella Sanchez","CC-1219929590","Clínica Foscal (Bucaramanga)","Ginecología","HONORARIOS","2026-05-10","Bucaramanga","Asesoría científica en junta médica","Factura CO-20260510-393",1103131
"HCP","Dr. Natalia Restrepo","CC-1771611494","Hospital Pablo Tobón Uribe (Medellín)","Medicina Interna","VIAJES","2026-03-29","Medellín","Alojamiento en hotel para convención científica","Factura CO-20260329-394",2044424
"HCP","Dr. Jorge Vargas","CC-1343897519","Hospital Universitario San Ignacio (Bogotá)","Cirugía General","DONACIONES","2026-02-03","Bogotá","Donación de equipo ecográfico portátil","Factura CO-20260203-395",25554613
"HCP","Dr. Mauricio Diaz","CC-1226724177","Clínica Foscal (Bucaramanga)","Dermatología","HONORARIOS","2026-02-12","Bucaramanga","Docencia en conferencia regional de salud","Factura CO-20260212-396",906938
"HCP","Dr. Alejandro Ortiz","CE-839680","Hospital Universitario San Ignacio (Bogotá)","Medicina Interna","DONACIONES","2026-02-19","Bogotá","Aporte liberal para centro de investigación pública","Factura CO-20260219-397",21597363
