"Recipient Type","Recipient Name","Codice Fiscale","Struttura","Specializzazione","Tipologia","Data","Place","Oggetto","Dettagli","Amount"
"INSTITUTION","Ospedale San Raffaele (Milano)","PI761336709","","","DONAZIONI","2026-02-17","Palermo","Donazione materiale didattico","Fattura IT-20260217-249",897
"HCP","Dr. Silvia Costa","CSTSLV68B21F205H","Ospedale Cardarelli (Napoli)","Chirurgia Generale","PRESENTATION","2026-02-06","Bari","Presentazione di prodotto farmaceutico","Fattura IT-20260206-250",636
"HCP","Dr. Francesca Lombardi","LMBFRN66C11F205H","Ospedale San Martino (Genova)","Oncologia","CONFERENCE_SUPPORT","2026-02-21","Palermo","Rimborso spese viaggio e alloggio","Fattura IT-20260221-251",655
"INSTITUTION","Ospedale Molinette (Torino)","PI937292455","","","CONSULTANCY","2026-05-14","Milano","Relazione scientifica convegno","Fattura IT-20260514-252",629
"HCP","Dr. Gabriele Esposito","SPSGBR57P27F205H","Ospedale Niguarda (Milano)","Pediatria","PRESENTATION","2026-01-10","Milano","Presentazione di prodotto farmaceutico","Fattura IT-20260110-253",495
"HCP","Dr. Leonardo Ricci","RCCLNR83H13F205H","Ospedale San Martino (Genova)","Ginecologia","PRESENTATION","2026-02-13","Palermo","Briefing scientifico aziendale","Fattura IT-20260213-254",225
"HCP","Dr. Alessandro Fontana","FNTLSS52T20F205H","Ospedale Niguarda (Milano)","Chirurgia Generale","DONAZIONI","2026-05-18","Milano","Erogazione per attrezzature di reparto","Fattura IT-20260518-255",1619
"INSTITUTION","Ospedale San Raffaele (Milano)","PI613326922","","","CONSULTANCY","2026-01-25","Padova","Relazione scientifica convegno","Fattura IT-20260125-256",315
"HCP","Dr. Matteo De Luca","DLCMTT81S24F205H","Ospedale Molinette (Torino)","Ginecologia","CONVENZIONI","2026-01-08","Padova","Contratto di advisory board","Fattura IT-20260108-257",1505
"HCP","Dr. Filippo Russo","RSSFLP74H09F205H","Ospedale San Martino (Genova)","Dermatologia","CONSULTANCY","2026-05-02","Palermo","Consulenza tecnica di prodotto","Fattura IT-20260502-258",334
"HCP","Dr. Aurora Greco","GRCRRR69H19F205H","Policlinico Gemelli (Roma)","Ginecologia","DONAZIONI","2026-05-08","Roma","Donazione apparecchio ecografico","Fattura IT-20260508-259",1263
"HCP","Dr. Francesca Russo","RSSFRN57M27F205H","Ospedale Sant'Orsola (Bologna)","Pediatria","CONVENZIONI","2026-05-09","Napoli","Contratto di advisory board","Fattura IT-20260509-260",1930
"HCP","Dr. Mattia Moretti","MRTMTT70R02F205H","Ospedale Niguarda (Milano)","Pediatria","CONVENZIONI","2026-03-05","Milano","Accordo di consulenza scientifica","Fattura IT-20260305-261",371
"HCP","Dr. Paola Rinaldi","RNLPLP55C22F205H","Ospedale Cardarelli (Napoli)","Chirurgia Generale","PRESENTATION","2026-01-25","Bari","Briefing scientifico aziendale","Fattura IT-20260125-262",827
"HCP","Dr. Mattia Gatti","GTTMTT77E19F205H","Ospedale San Raffaele (Milano)","Neurologia","DONAZIONI","2026-02-23","Firenze","Donazione materiale didattico","Fattura IT-20260223-263",1392
"HCP","Dr. Alice Ferrari","FRRLCL63P17F205H","Ospedale Niguarda (Milano)","Oncologia","CONVENZIONI","2026-01-26","Milano","Incarico di docenza per seminario","Fattura IT-20260126-264",361
"HCP","Dr. Antonio Ferrari","FRRNTN59B15F205H","Policlinico Gemelli (Roma)","Medicina Interna","CONFERENCE_SUPPORT","2026-05-14","Roma","Copertura spese di ospitalità","Fattura IT-20260514-265",365
"HCP","Dr. Davide Colombo","CLMDVD82M17F205H","Ospedale San Raffaele (Milano)","Anestesiologia","CONVENZIONI","2026-03-08","Firenze","Incarico di docenza per seminario","Fattura IT-20260308-266",1760
"HCP","Dr. Gabriele Giordano","GRDGBR89A07F205H","Ospedale Niguarda (Milano)","Dermatologia","DONAZIONI","2026-01-06","Milano","Donazione materiale didattico","Fattura IT-20260106-267",7991
"HCP","Dr. Marco Ferrari","FRRMRC53P17F205H","Ospedale San Martino (Genova)","Oncologia","CONSULTANCY","2026-01-18","Palermo","Partecipazione tavola rotonda","Fattura IT-20260118-268",608
"HCP","Dr. Andrea Vinci","VNCNDR57A15F205H","Policlinico di Bari","Radiologia","DONAZIONI","2026-02-25","Torino","Supporto liberale borse di studio","Fattura IT-20260225-269",764
"INSTITUTION","Policlinico Gemelli (Roma)","PI362436069","","","DONAZIONI","2026-03-07","Torino","Supporto liberale borse di studio","Fattura IT-20260307-270",1015
"HCP","Dr. Pietro Vinci","VNCPTR75H04F205H","Ospedale San Martino (Genova)","Dermatologia","PRESENTATION","2025-12-30","Palermo","Briefing scientifico aziendale","Fattura IT-20251230-271",607
"HCP","Dr. Francesca Ricci","RCCFRN83B22F205H","Policlinico di Bari","Chirurgia Generale","CONFERENCE_SUPPORT","2026-04-20","Torino","Rimborso spese viaggio e alloggio","Fattura IT-20260420-272",608
"HCP","Dr. Beatrice Marino","MRNBTR57E07F205H","Policlinico di Bari","Cardiologia","DONAZIONI","2026-04-22","Torino","Erogazione per attrezzature di reparto","Fattura IT-20260422-273",1245
"HCP","Dr. Lorenzo Rizzo","RZZLRN69C11F205H","Ospedale Niguarda (Milano)","Cardiologia","CONVENZIONI","2026-04-17","Milano","Accordo di consulenza scientifica","Fattura IT-20260417-274",453
"INSTITUTION","Ospedale Cardarelli (Napoli)","PI568565825","","","PRESENTATION","2025-12-31","Napoli","Presentazione di prodotto farmaceutico","Fattura IT-20251231-275",779
"HCP","Dr. Francesca Russo","RSSFRN53M24F205H","Policlinico di Bari","Pediatria","DONAZIONI","2026-03-31","Torino","Donazione materiale didattico","Fattura IT-20260331-276",9327
"HCP","Dr. Marco Mancini","MNCMRC76L25F205H","Ospedale Cardarelli (Napoli)","Oncologia","CONSULTANCY","2026-04-01","Bari","Consulenza tecnica di prodotto","Fattura IT-20260401-277",447
"HCP","Dr. Greta Lombardi","LMBGRT73T14F205H","Ospedale Molinette (Torino)","Oncologia","DONAZIONI","2026-04-30","Padova","Supporto liberale borse di studio","Fattura IT-20260430-278",5959
"INSTITUTION","Ospedale Niguarda (Milano)","PI569912675","","","CONSULTANCY","2026-01-05","Bologna","Partecipazione tavola rotonda","Fattura IT-20260105-279",712
"HCP","Dr. Silvia De Luca","DLCSLV62M18F205H","Ospedale Molinette (Torino)","Dermatologia","DONAZIONI","2026-01-27","Padova","Erogazione per attrezzature di reparto","Fattura IT-20260127-280",742
"HCP","Dr. Paola Conti","CNTPLP80H21F205H","Ospedale Cardarelli (Napoli)","Medicina Interna","CONFERENCE_SUPPORT","2026-03-25","Bari","Rimborso spese viaggio e alloggio","Fattura IT-20260325-281",177
"HCP","Dr. Alessandro Gallo","GLLLSS86M28F205H","Policlinico di Bari","Pediatria","CONFERENCE_SUPPORT","2026-04-26","Torino","Rimborso spese viaggio e alloggio","Fattura IT-20260426-282",481
"INSTITUTION","Policlinico di Bari","PI256426056","","","CONVENZIONI","2026-02-22","Milano","Supporto alla ricerca clinica","Fattura IT-20260222-283",462
"HCP","Dr. Giulia Gatti","GTTGLG73D14F205H","Ospedale San Raffaele (Milano)","Medicina Interna","CONVENZIONI","2026-03-28","Firenze","Incarico di docenza per seminario","Fattura IT-20260328-284",735
"HCP","Dr. Paola Rinaldi","RNLPLP50S21F205H","Ospedale San Martino (Genova)","Radiologia","PRESENTATION","2026-03-20","Palermo","Presentazione di prodotto farmaceutico","Fattura IT-20260320-285",372
"HCP","Dr. Chiara Caruso","CRSCHR65A04F205H","Policlinico di Bari","Ginecologia","CONVENZIONI","2026-02-10","Torino","Supporto alla ricerca clinica","Fattura IT-20260210-286",436
"INSTITUTION","Ospedale Civile di Padova","PI958761900","","","DONAZIONI","2026-02-16","Roma","Supporto liberale borse di studio","Fattura IT-20260216-287",8928
"HCP","Dr. Marco Santoro","SNTMRC68C03F205H","Ospedale Molinette (Torino)","Oncologia","PRESENTATION","2026-04-23","Padova","Briefing scientifico aziendale","Fattura IT-20260423-288",809
"HCP","Dr. Giovanni Rinaldi","RNLGVN56L14F205H","Policlinico di Bari","Medicina Interna","CONSULTANCY","2026-01-25","Torino","Consulenza tecnica di prodotto","Fattura IT-20260125-289",576
"INSTITUTION","Ospedale San Martino (Genova)","PI843307404","","","PRESENTATION","2026-01-16","Bari","Presentazione di prodotto farmaceutico","Fattura IT-20260116-290",334
"HCP","Dr. Leonardo Mancini","MNCLNR72M04F205H","Ospedale San Martino (Genova)","Pediatria","CONSULTANCY","2026-05-17","Palermo","Consulenza tecnica di prodotto","Fattura IT-20260517-291",628
"INSTITUTION","Ospedale Civile di Padova","PI979539163","","","DONAZIONI","2026-02-22","Padova","Donazione apparecchio ecografico","Fattura IT-20260222-292",939
"HCP","Dr. Pietro Russo","RSSPTR71H19F205H","Ospedale Molinette (Torino)","Oncologia","CONVENZIONI","2026-04-06","Padova","Supporto alla ricerca clinica","Fattura IT-20260406-293",813
"HCP","Dr. Francesco Colombo","CLMFRN85A05F205H","Ospedale Civile di Padova","Cardiologia","PRESENTATION","2026-01-12","Genova","Presentazione di prodotto farmaceutico","Fattura IT-20260112-294",167
"HCP","Dr. Luca Bianchi","BNCLCL71D17F205H","Policlinico di Bari","Anestesiologia","CONFERENCE_SUPPORT","2026-04-17","Torino","Quota di iscrizione congresso","Fattura IT-20260417-295",79
"HCP","Dr. Alice Vinci","VNCLCL59P05F205H","Ospedale San Martino (Genova)","Oncologia","PRESENTATION","2026-04-08","Palermo","Presentazione di prodotto farmaceutico","Fattura IT-20260408-296",424
"HCP","Dr. Marco Mariani","MRNMRC87A22F205H","Ospedale Molinette (Torino)","Dermatologia","CONVENZIONI","2026-02-23","Padova","Supporto alla ricerca clinica","Fattura IT-20260223-297",1935
"HCP","Dr. Giorgia Vinci","VNCGRG59D04F205H","Ospedale Molinette (Torino)","Cardiologia","CONVENZIONI","2026-03-21","Padova","Supporto alla ricerca clinica","Fattura IT-20260321-298",241
"HCP","Dr. Lorenzo Barbier","BRBLRN78P05F205H","Ospedale Civile di Padova","Medicina Interna","CONVENZIONI","2026-01-19","Genova","Supporto alla ricerca clinica","Fattura IT-20260119-299",1611
"HCP","Dr. Pietro Ferraro","FRRPTR51B28F205H","Ospedale Civile di Padova","Chirurgia Generale","CONFERENCE_SUPPORT","2026-05-16","Genova","Rimborso spese viaggio e alloggio","Fattura IT-20260516-300",753
"HCP","Dr. Paola Ferraro","FRRPLP58P06F205H","Ospedale Sant'Orsola (Bologna)","Cardiologia","CONVENZIONI","2026-03-29","Napoli","Incarico di docenza per seminario","Fattura IT-20260329-301",683
"HCP","Dr. Francesco Russo","RSSFRN87D02F205H","Ospedale Cardarelli (Napoli)","Ginecologia","DONAZIONI","2026-01-17","Bari","Donazione apparecchio ecografico","Fattura IT-20260117-302",1366
"HCP","Dr. Aurora Ferraro","FRRRRR56C18F205H","Ospedale Niguarda (Milano)","Pediatria","CONFERENCE_SUPPORT","2026-02-18","Milano","Copertura spese di ospitalità","Fattura IT-20260218-303",688
"HCP","Dr. Beatrice Russo","RSSBTR73A19F205H","Ospedale Sant'Orsola (Bologna)","Anestesiologia","CONFERENCE_SUPPORT","2026-05-21","Napoli","Rimborso spese viaggio e alloggio","Fattura IT-20260521-304",471
"HCP","Dr. Giovanni Ricci","RCCGVN55E05F205H","Policlinico di Bari","Anestesiologia","CONFERENCE_SUPPORT","2026-05-21","Torino","Copertura spese di ospitalità","Fattura IT-20260521-305",476
"HCP","Dr. Marco Ricci","RCCMRC57A09F205H","Ospedale Careggi (Firenze)","Chirurgia Generale","CONVENZIONI","2026-01-05","Bologna","Supporto alla ricerca clinica","Fattura IT-20260105-306",840
"INSTITUTION","Ospedale Niguarda (Milano)","PI755304284","","","DONAZIONI","2026-03-03","Bari","Donazione materiale didattico","Fattura IT-20260303-307",8090
"HCP","Dr. Marco Colombo","CLMMRC82D21F205H","Ospedale Cardarelli (Napoli)","Medicina Interna","DONAZIONI","2026-03-04","Bari","Donazione apparecchio ecografico","Fattura IT-20260304-308",7893
"INSTITUTION","Policlinico di Bari","PI992699078","","","DONAZIONI","2026-01-08","Bologna","Erogazione per attrezzature di reparto","Fattura IT-20260108-309",1597
"HCP","Dr. Paola Pellegrini","PLLPLP54A18F205H","Ospedale Sant'Orsola (Bologna)","Dermatologia","PRESENTATION","2026-03-09","Napoli","Presentazione di prodotto farmaceutico","Fattura IT-20260309-310",725
"HCP","Dr. Silvia Caruso","CRSSLV55A22F205H","Ospedale Cardarelli (Napoli)","Chirurgia Generale","CONVENZIONI","2026-01-17","Bari","Supporto alla ricerca clinica","Fattura IT-20260117-311",694
"HCP","Dr. Aurora Moretti","MRTRRR55T15F205H","Ospedale San Raffaele (Milano)","Medicina Interna","CONSULTANCY","2026-02-28","Firenze","Partecipazione tavola rotonda","Fattura IT-20260228-312",69
"HCP","Dr. Francesco Pellegrini","PLLFRN80R02F205H","Policlinico Gemelli (Roma)","Radiologia","CONSULTANCY","2026-01-28","Roma","Consulenza tecnica di prodotto","Fattura IT-20260128-313",320
"HCP","Dr. Filippo Caruso","CRSFLP78C21F205H","Ospedale San Raffaele (Milano)","Oncologia","DONAZIONI","2026-02-08","Firenze","Donazione apparecchio ecografico","Fattura IT-20260208-314",1748
"INSTITUTION","Policlinico di Bari","PI920365242","","","CONSULTANCY","2026-04-28","Bologna","Partecipazione tavola rotonda","Fattura IT-20260428-315",596
"HCP","Dr. Greta Gatti","GTTGRT79D07F205H","Ospedale Sant'Orsola (Bologna)","Neurologia","CONSULTANCY","2026-02-04","Napoli","Consulenza tecnica di prodotto","Fattura IT-20260204-316",180
"HCP","Dr. Riccardo Ricci","RCCRCC82P19F205H","Policlinico di Bari","Medicina Interna","DONAZIONI","2026-03-12","Torino","Supporto liberale borse di studio","Fattura IT-20260312-317",5743
"HCP","Dr. Andrea Romano","RMNNDR57T01F205H","Ospedale San Martino (Genova)","Chirurgia Generale","DONAZIONI","2025-12-30","Palermo","Donazione materiale didattico","Fattura IT-20251230-318",1701
"HCP","Dr. Gabriele Mancini","MNCGBR60M26F205H","Policlinico di Bari","Anestesiologia","PRESENTATION","2026-04-06","Torino","Presentazione di prodotto farmaceutico","Fattura IT-20260406-319",249
"HCP","Dr. Marco Rizzo","RZZMRC82P25F205H","Ospedale Molinette (Torino)","Radiologia","DONAZIONI","2026-04-26","Padova","Donazione apparecchio ecografico","Fattura IT-20260426-320",1638
"HCP","Dr. Giovanni Ferrari","FRRGVN54C23F205H","Ospedale Niguarda (Milano)","Pediatria","PRESENTATION","2026-04-15","Milano","Briefing scientifico aziendale","Fattura IT-20260415-321",782
"INSTITUTION","Ospedale San Raffaele (Milano)","PI574658055","","","CONFERENCE_SUPPORT","2026-02-26","Genova","Copertura spese di ospitalità","Fattura IT-20260226-322",98
"HCP","Dr. Alice Colombo","CLMLCL76C11F205H","Ospedale San Martino (Genova)","Radiologia","CONFERENCE_SUPPORT","2026-04-29","Palermo","Quota di iscrizione congresso","Fattura IT-20260429-323",603
"HCP","Dr. Paola Lombardi","LMBPLP74L06F205H","Ospedale Cardarelli (Napoli)","Oncologia","CONFERENCE_SUPPORT","2026-04-13","Bari","Rimborso spese viaggio e alloggio","Fattura IT-20260413-324",418
"HCP","Dr. Luca Santoro","SNTLCL64M08F205H","Ospedale Civile di Padova","Pediatria","CONSULTANCY","2026-02-25","Genova","Relazione scientifica convegno","Fattura IT-20260225-325",101
"HCP","Dr. Giovanni Ferrari","FRRGVN55L08F205H","Policlinico Gemelli (Roma)","Chirurgia Generale","DONAZIONI","2026-03-19","Roma","Erogazione per attrezzature di reparto","Fattura IT-20260319-326",1782
"INSTITUTION","Ospedale Molinette (Torino)","PI112572143","","","PRESENTATION","2026-04-20","Milano","Presentazione di prodotto farmaceutico","Fattura IT-20260420-327",679
"HCP","Dr. Davide Conti","CNTDVD51B05F205H","Ospedale Niguarda (Milano)","Cardiologia","PRESENTATION","2026-03-25","Milano","Presentazione di prodotto farmaceutico","Fattura IT-20260325-328",435
"INSTITUTION","Ospedale Civile di Padova","PI273688894","","","CONVENZIONI","2026-04-03","Palermo","Incarico di docenza per seminario","Fattura IT-20260403-329",395
"HCP","Dr. Giovanni Conti","CNTGVN74T17F205H","Ospedale Niguarda (Milano)","Ginecologia","CONSULTANCY","2026-01-03","Milano","Relazione scientifica convegno","Fattura IT-20260103-330",642
"HCP","Dr. Pietro Barbier","BRBPTR61L15F205H","Ospedale San Martino (Genova)","Cardiologia","DONAZIONI","2026-03-05","Palermo","Donazione materiale didattico","Fattura IT-20260305-331",1421
"HCP","Dr. Alessandro Vinci","VNCLSS88B03F205H","Ospedale San Raffaele (Milano)","Radiologia","CONVENZIONI","2026-02-17","Firenze","Accordo di consulenza scientifica","Fattura IT-20260217-332",167
"HCP","Dr. Francesca Bianchi","BNCFRN81M07F205H","Ospedale San Raffaele (Milano)","Oncologia","CONVENZIONI","2026-03-19","Firenze","Incarico di docenza per seminario","Fattura IT-20260319-333",834
"HCP","Dr. Sofia Mancini","MNCSFS70R09F205H","Ospedale Sant'Orsola (Bologna)","Radiologia","CONSULTANCY","2026-05-02","Napoli","Relazione scientifica convegno","Fattura IT-20260502-334",656
"HCP","Dr. Paola Esposito","SPSPLP76D26F205H","Policlinico Gemelli (Roma)","Dermatologia","PRESENTATION","2026-01-14","Roma","Presentazione di prodotto farmaceutico","Fattura IT-20260114-335",221
"HCP","Dr. Beatrice Esposito","SPSBTR84C03F205H","Ospedale Molinette (Torino)","Chirurgia Generale","DONAZIONI","2026-02-21","Padova","Donazione apparecchio ecografico","Fattura IT-20260221-336",2200
"INSTITUTION","Ospedale San Raffaele (Milano)","PI598578426","","","PRESENTATION","2026-04-26","Firenze","Briefing scientifico aziendale","Fattura IT-20260426-337",77
"INSTITUTION","Ospedale Cardarelli (Napoli)","PI694169618","","","CONFERENCE_SUPPORT","2026-04-14","Milano","Rimborso spese viaggio e alloggio","Fattura IT-20260414-338",760
"HCP","Dr. Andrea Colombo","CLMNDR73P12F205H","Ospedale Sant'Orsola (Bologna)","Ginecologia","PRESENTATION","2026-03-09","Napoli","Briefing scientifico aziendale","Fattura IT-20260309-339",237
"HCP","Dr. Paola Gatti","GTTPLP66S04F205H","Ospedale Careggi (Firenze)","Cardiologia","CONSULTANCY","2026-04-16","Bologna","Consulenza tecnica di prodotto","Fattura IT-20260416-340",74
"HCP","Dr. Giulia Greco","GRCGLG72T06F205H","Ospedale Sant'Orsola (Bologna)","Cardiologia","DONAZIONI","2026-03-30","Napoli","Donazione materiale didattico","Fattura IT-20260330-341",9183
"HCP","Dr. Davide Conti","CNTDVD58T19F205H","Policlinico di Bari","Medicina Interna","CONVENZIONI","2026-04-13","Torino","Contratto di advisory board","Fattura IT-20260413-342",1859
"HCP","Dr. Emma Fontana","FNTMMM64M09F205H","Ospedale Careggi (Firenze)","Neurologia","CONSULTANCY","2026-04-07","Bologna","Partecipazione tavola rotonda","Fattura IT-20260407-343",309
"HCP","Dr. Pietro Romano","RMNPTR61C04F205H","Ospedale Sant'Orsola (Bologna)","Dermatologia","CONVENZIONI","2026-02-23","Napoli","Contratto di advisory board","Fattura IT-20260223-344",587
"HCP","Dr. Beatrice Giordano","GRDBTR59R02F205H","Ospedale San Martino (Genova)","Ginecologia","DONAZIONI","2026-01-02","Palermo","Donazione apparecchio ecografico","Fattura IT-20260102-345",8217
"HCP","Dr. Davide Santoro","SNTDVD52R10F205H","Ospedale Careggi (Firenze)","Pediatria","CONVENZIONI","2026-03-05","Bologna","Incarico di docenza per seminario","Fattura IT-20260305-346",1507
"HCP","Dr. Filippo Ferraro","FRRFLP57A17F205H","Policlinico di Bari","Chirurgia Generale","CONVENZIONI","2026-02-03","Torino","Supporto alla ricerca clinica","Fattura IT-20260203-347",731
"HCP","Dr. Alice Russo","RSSLCL65R06F205H","Policlinico Gemelli (Roma)","Dermatologia","CONVENZIONI","2026-02-03","Roma","Supporto alla ricerca clinica","Fattura IT-20260203-348",232
"HCP","Dr. Pietro Romano","RMNPTR88M17F205H","Ospedale San Martino (Genova)","Radiologia","CONSULTANCY","2026-01-07","Palermo","Partecipazione tavola rotonda","Fattura IT-20260107-349",94
"HCP","Dr. Leonardo Gallo","GLLLNR64B10F205H","Ospedale San Martino (Genova)","Chirurgia Generale","CONVENZIONI","2026-02-12","Palermo","Accordo di consulenza scientifica","Fattura IT-20260212-350",1947
"HCP","Dr. Chiara Barbier","BRBCHR64S11F205H","Ospedale Niguarda (Milano)","Chirurgia Generale","PRESENTATION","2026-03-31","Milano","Briefing scientifico aziendale","Fattura IT-20260331-351",546
"HCP","Dr. Davide Fontana","FNTDVD55C15F205H","Policlinico Gemelli (Roma)","Radiologia","PRESENTATION","2026-01-04","Roma","Briefing scientifico aziendale","Fattura IT-20260104-352",172
"INSTITUTION","Ospedale Sant'Orsola (Bologna)","PI114390319","","","CONSULTANCY","2026-03-21","Napoli","Relazione scientifica convegno","Fattura IT-20260321-353",265
"HCP","Dr. Matteo Mancini","MNCMTT60H05F205H","Ospedale Sant'Orsola (Bologna)","Medicina Interna","PRESENTATION","2026-04-02","Napoli","Presentazione di prodotto farmaceutico","Fattura IT-20260402-354",691
"HCP","Dr. Aurora Esposito","SPSRRR56P14F205H","Ospedale Niguarda (Milano)","Ginecologia","CONFERENCE_SUPPORT","2026-05-01","Milano","Copertura spese di ospitalità","Fattura IT-20260501-355",683
"HCP","Dr. Giulia Pellegrini","PLLGLG63H12F205H","Policlinico Gemelli (Roma)","Dermatologia","CONFERENCE_SUPPORT","2026-02-22","Roma","Quota di iscrizione congresso","Fattura IT-20260222-356",755
"HCP","Dr. Greta Moretti","MRTGRT51L06F205H","Policlinico Gemelli (Roma)","Cardiologia","CONSULTANCY","2026-03-11","Roma","Relazione scientifica convegno","Fattura IT-20260311-357",419
"HCP","Dr. Mattia Marino","MRNMTT65A15F205H","Ospedale Sant'Orsola (Bologna)","Pediatria","CONFERENCE_SUPPORT","2026-02-27","Napoli","Rimborso spese viaggio e alloggio","Fattura IT-20260227-358",273
"HCP","Dr. Matteo Costa","CSTMTT67D25F205H","Ospedale San Raffaele (Milano)","Cardiologia","DONAZIONI","2026-01-02","Firenze","Supporto liberale borse di studio","Fattura IT-20260102-359",1507
"HCP","Dr. Marco Esposito","SPSMRC75C27F205H","Ospedale Civile di Padova","Cardiologia","PRESENTATION","2026-02-15","Genova","Presentazione di prodotto farmaceutico","Fattura IT-20260215-360",777
"INSTITUTION","Ospedale Sant'Orsola (Bologna)","PI595880791","","","CONFERENCE_SUPPORT","2026-02-18","Milano","Rimborso spese viaggio e alloggio","Fattura IT-20260218-361",586
"INSTITUTION","Ospedale Civile di Padova","PI836481387","","","DONAZIONI","2026-04-15","Padova","Donazione apparecchio ecografico","Fattura IT-20260415-362",2255
"HCP","Dr. Chiara Gatti","GTTCHR79H25F205H","Ospedale San Raffaele (Milano)","Anestesiologia","CONVENZIONI","2026-03-19","Firenze","Accordo di consulenza scientifica","Fattura IT-20260319-363",849
"HCP","Dr. Pietro Pellegrini","PLLPTR67H28F205H","Ospedale Cardarelli (Napoli)","Radiologia","CONVENZIONI","2026-04-20","Bari","Accordo di consulenza scientifica","Fattura IT-20260420-364",1444
"INSTITUTION","Ospedale San Martino (Genova)","PI506992663","","","CONVENZIONI","2026-04-10","Palermo","Contratto di advisory board","Fattura IT-20260410-365",669
"HCP","Dr. Pietro Costa","CSTPTR63C23F205H","Ospedale San Martino (Genova)","Medicina Interna","CONVENZIONI","2026-04-30","Palermo","Incarico di docenza per seminario","Fattura IT-20260430-366",1462
"HCP","Dr. Francesco Mariani","MRNFRN62S22F205H","Ospedale Civile di Padova","Pediatria","CONSULTANCY","2026-02-17","Genova","Consulenza tecnica di prodotto","Fattura IT-20260217-367",671
"HCP","Dr. Greta Rizzo","RZZGRT53L23F205H","Ospedale San Raffaele (Milano)","Ginecologia","DONAZIONI","2026-04-25","Firenze","Donazione materiale didattico","Fattura IT-20260425-368",1309
"HCP","Dr. Giulia Ferraro","FRRGLG59D26F205H","Ospedale Careggi (Firenze)","Chirurgia Generale","CONVENZIONI","2026-04-14","Bologna","Incarico di docenza per seminario","Fattura IT-20260414-369",1658
"HCP","Dr. Valeria Colombo","CLMVLR62M14F205H","Ospedale San Raffaele (Milano)","Ginecologia","CONSULTANCY","2026-01-29","Firenze","Relazione scientifica convegno","Fattura IT-20260129-370",417
"HCP","Dr. Giulia Mariani","MRNGLG60L28F205H","Ospedale Niguarda (Milano)","Cardiologia","CONFERENCE_SUPPORT","2026-01-11","Milano","Quota di iscrizione congresso","Fattura IT-20260111-371",514
"HCP","Dr. Beatrice Colombo","CLMBTR86T09F205H","Policlinico Gemelli (Roma)","Chirurgia Generale","PRESENTATION","2026-04-16","Roma","Briefing scientifico aziendale","Fattura IT-20260416-372",680
"HCP","Dr. Matteo De Luca","DLCMTT60A04F205H","Policlinico di Bari","Pediatria","CONSULTANCY","2026-04-02","Torino","Partecipazione tavola rotonda","Fattura IT-20260402-373",772
"HCP","Dr. Francesco Colombo","CLMFRN56L15F205H","Ospedale San Raffaele (Milano)","Radiologia","CONVENZIONI","2025-12-27","Firenze","Incarico di docenza per seminario","Fattura IT-20251227-374",626
"HCP","Dr. Giorgia Rossi","RSSGRG64E11F205H","Ospedale Sant'Orsola (Bologna)","Ginecologia","CONSULTANCY","2026-01-09","Napoli","Relazione scientifica convegno","Fattura IT-20260109-375",176
"HCP","Dr. Aurora Esposito","SPSRRR59A10F205H","Ospedale Cardarelli (Napoli)","Pediatria","CONVENZIONI","2026-03-16","Bari","Incarico di docenza per seminario","Fattura IT-20260316-376",1598
"HCP","Dr. Antonio Ricci","RCCNTN57E16F205H","Ospedale Civile di Padova","Ginecologia","CONFERENCE_SUPPORT","2026-05-01","Genova","Copertura spese di ospitalità","Fattura IT-20260501-377",189
"HCP","Dr. Valeria Costa","CSTVLR75D24F205H","Ospedale San Raffaele (Milano)","Cardiologia","DONAZIONI","2026-05-20","Firenze","Donazione materiale didattico","Fattura IT-20260520-378",2473
"HCP","Dr. Riccardo Marino","MRNRCC51L12F205H","Policlinico Gemelli (Roma)","Pediatria","PRESENTATION","2026-02-22","Roma","Briefing scientifico aziendale","Fattura IT-20260222-379",168
"INSTITUTION","Ospedale Careggi (Firenze)","PI741219701","","","PRESENTATION","2026-04-14","Palermo","Briefing scientifico aziendale","Fattura IT-20260414-380",185
"HCP","Dr. Silvia Ricci","RCCSLV56H14F205H","Policlinico Gemelli (Roma)","Neurologia","CONSULTANCY","2026-01-01","Roma","Consulenza tecnica di prodotto","Fattura IT-20260101-381",461
"HCP","Dr. Paola Esposito","SPSPLP68L05F205H","Ospedale San Martino (Genova)","Pediatria","CONVENZIONI","2026-01-26","Palermo","Contratto di advisory board","Fattura IT-20260126-382",1626
"HCP","Dr. Beatrice Ferraro","FRRBTR67D13F205H","Ospedale San Raffaele (Milano)","Cardiologia","CONVENZIONI","2026-04-12","Firenze","Accordo di consulenza scientifica","Fattura IT-20260412-383",701
"HCP","Dr. Marco Moretti","MRTMRC71M22F205H","Policlinico di Bari","Anestesiologia","PRESENTATION","2026-04-11","Torino","Briefing scientifico aziendale","Fattura IT-20260411-384",837
"INSTITUTION","Ospedale Careggi (Firenze)","PI272145611","","","CONSULTANCY","2026-04-09","Padova","Consulenza tecnica di prodotto","Fattura IT-20260409-385",582
"HCP","Dr. Riccardo Rizzo","RZZRCC63E02F205H","Ospedale San Martino (Genova)","Medicina Interna","CONSULTANCY","2026-01-28","Palermo","Partecipazione tavola rotonda","Fattura IT-20260128-386",809
"INSTITUTION","Ospedale Careggi (Firenze)","PI770204406","","","DONAZIONI","2026-02-26","Milano","Donazione materiale didattico","Fattura IT-20260226-387",1839
